Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
P26038	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; blood microparticle [GO:0072562]; cell periphery [GO:0071944]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extrinsic component of membrane [GO:0019898]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; microvillus [GO:0005902]; microvillus membrane [GO:0031528]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]; uropod [GO:0001931]; vesicle [GO:0031982]; actin binding [GO:0003779]; cell adhesion molecule binding [GO:0050839]; double-stranded RNA binding [GO:0003725]; enzyme binding [GO:0019899]; protein kinase binding [GO:0019901]; receptor binding [GO:0005102]; structural constituent of cytoskeleton [GO:0005200]; cellular response to testosterone stimulus [GO:0071394]; establishment of endothelial barrier [GO:0061028]; establishment of epithelial cell apical/basal polarity [GO:0045198]; gland morphogenesis [GO:0022612]; immunological synapse formation [GO:0001771]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; membrane to membrane docking [GO:0022614]; movement of cell or subcellular component [GO:0006928]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of early endosome to late endosome transport [GO:2000643]; positive regulation of gene expression [GO:0010628]; positive regulation of podosome assembly [GO:0071803]; positive regulation of protein localization to early endosome [GO:1902966]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]; regulation of lymphocyte migration [GO:2000401]; regulation of organelle assembly [GO:1902115]; T cell aggregation [GO:0070489]; T cell migration [GO:0072678]; T cell proliferation [GO:0042098]	P26038
P53985	cell junction [GO:0030054]; centrosome [GO:0005813]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; lactate transmembrane transporter activity [GO:0015129]; mevalonate transmembrane transporter activity [GO:0015130]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; organic cyclic compound binding [GO:0097159]; protein homodimerization activity [GO:0042803]; symporter activity [GO:0015293]; behavioral response to nutrient [GO:0051780]; cellular response to organic cyclic compound [GO:0071407]; centrosome organization [GO:0051297]; glucose homeostasis [GO:0042593]; leukocyte migration [GO:0050900]; lipid metabolic process [GO:0006629]; mevalonate transport [GO:0015728]; monocarboxylic acid transport [GO:0015718]; plasma membrane lactate transport [GO:0035879]; pyruvate metabolic process [GO:0006090]; regulation of insulin secretion [GO:0050796]; response to food [GO:0032094]	P53985
Q14149	nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; PML body [GO:0016605]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; cell aging [GO:0007569]; maintenance of protein location in nucleus [GO:0051457]; negative regulation of fibroblast proliferation [GO:0048147]; peptidyl-serine phosphorylation [GO:0018105]; post-embryonic development [GO:0009791]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; viral process [GO:0016032]	Q14149
Q9UBU8	NuA4 histone acetyltransferase complex [GO:0035267]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; Sin3 complex [GO:0016580]; chromatin binding [GO:0003682]; protein N-terminus binding [GO:0047485]; cell proliferation [GO:0008283]; chromatin remodeling [GO:0006338]; chromatin silencing [GO:0006342]; double-strand break repair via homologous recombination [GO:0000724]; histone deacetylation [GO:0016575]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; regulation of growth [GO:0040008]; transcription, DNA-templated [GO:0006351]	Q9UBU8
Q9UKD2	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	Q9UKD2
Q96T58	extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]; DNA binding [GO:0003677]; nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]; RNA polymerase II transcription factor binding [GO:0001085]; transcriptional repressor activity, RNA polymerase II transcription factor binding [GO:0001191]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; Notch signaling pathway [GO:0007219]; positive regulation of neurogenesis [GO:0050769]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]	Q96T58
Q9H7C9	cytoplasm [GO:0005737]; negative regulation of apoptotic process [GO:0043066]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	Q9H7C9
Q7Z5P9	extracellular exosome [GO:0070062]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; O-glycan processing [GO:0016266]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	Q7Z5P9
P33527	basolateral plasma membrane [GO:0016323]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATPase-coupled anion transmembrane transporter activity [GO:0043225]; cobalamin-transporting ATPase activity [GO:0015420]; glutathione S-conjugate-exporting ATPase activity [GO:0015431]; glutathione transmembrane transporter activity [GO:0034634]; transporter activity [GO:0005215]; xenobiotic-transporting ATPase activity [GO:0008559]; cobalamin metabolic process [GO:0009235]; drug transmembrane transport [GO:0006855]; glutathione transmembrane transport [GO:0034775]; leukotriene metabolic process [GO:0006691]; response to drug [GO:0042493]; transmembrane transport [GO:0055085]; transport [GO:0006810]; xenobiotic transport [GO:0042908]	P33527
O15439	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; 15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATPase-coupled anion transmembrane transporter activity [GO:0043225]; cilium assembly [GO:0060271]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]	O15439
P22234	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	P22234
Q9BQG0	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; NLS-dependent protein nuclear import complex [GO:0042564]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; core promoter binding [GO:0001047]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; cellular response to glucose starvation [GO:0042149]; circadian regulation of gene expression [GO:0032922]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleocytoplasmic transport [GO:0006913]; osteoblast differentiation [GO:0001649]; positive regulation of anoikis [GO:2000210]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of transcription, DNA-templated [GO:0006355]; respiratory electron transport chain [GO:0022904]; transcription, DNA-templated [GO:0006351]	Q9BQG0
O95297	cell surface [GO:0009986]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; structural molecule activity [GO:0005198]; cell-cell signaling [GO:0007267]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	O95297
P60660	brush border [GO:0005903]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; membrane [GO:0016020]; myosin complex [GO:0016459]; unconventional myosin complex [GO:0016461]; vesicle [GO:0031982]; actin-dependent ATPase activity [GO:0030898]; calcium ion binding [GO:0005509]; motor activity [GO:0003774]; structural constituent of muscle [GO:0008307]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; skeletal muscle tissue development [GO:0007519]	P60660
P35580	actomyosin [GO:0042641]; axon [GO:0030424]; brush border [GO:0005903]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; midbody [GO:0030496]; myosin complex [GO:0016459]; myosin II complex [GO:0016460]; myosin II filament [GO:0097513]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]; stress fiber [GO:0001725]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; actin filament-based movement [GO:0030048]; actomyosin structure organization [GO:0031032]; adult heart development [GO:0007512]; aorta development [GO:0035904]; axon guidance [GO:0007411]; cardiac myofibril assembly [GO:0055003]; cardiac septum development [GO:0003279]; cell adhesion [GO:0007155]; cell proliferation [GO:0008283]; cerebellar Purkinje cell layer development [GO:0021680]; coronary vasculature development [GO:0060976]; exocytosis [GO:0006887]; fourth ventricle development [GO:0021592]; in utero embryonic development [GO:0001701]; lateral ventricle development [GO:0021670]; mitotic cytokinesis [GO:0000281]; modification of postsynaptic actin cytoskeleton [GO:0098885]; neuromuscular process controlling balance [GO:0050885]; neuron migration [GO:0001764]; nuclear migration [GO:0007097]; plasma membrane repair [GO:0001778]; regulation of cell shape [GO:0008360]; retina development in camera-type eye [GO:0060041]; substrate-dependent cell migration, cell extension [GO:0006930]; third ventricle development [GO:0021678]; ventricular cardiac muscle cell development [GO:0055015]	P35580
P35579	actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; brush border [GO:0005903]; cell leading edge [GO:0031252]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; membrane [GO:0016020]; myosin II complex [GO:0016460]; myosin II filament [GO:0097513]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein complex [GO:0043234]; ruffle [GO:0001726]; spindle [GO:0005819]; stress fiber [GO:0001725]; uropod [GO:0001931]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein anchor [GO:0043495]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; actin cytoskeleton reorganization [GO:0031532]; actin filament-based movement [GO:0030048]; actomyosin structure organization [GO:0031032]; angiogenesis [GO:0001525]; blood vessel endothelial cell migration [GO:0043534]; cytokinetic process [GO:0032506]; establishment of meiotic spindle localization [GO:0051295]; establishment of T cell polarity [GO:0001768]; in utero embryonic development [GO:0001701]; integrin-mediated signaling pathway [GO:0007229]; leukocyte migration [GO:0050900]; meiotic spindle organization [GO:0000212]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte differentiation [GO:0030224]; myoblast fusion [GO:0007520]; negative regulation of actin filament severing [GO:1903919]; phagocytosis, engulfment [GO:0006911]; platelet aggregation [GO:0070527]; platelet formation [GO:0030220]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein transport [GO:0015031]; regulation of cell shape [GO:0008360]; uropod organization [GO:0032796]	P35579
Q9BSU3	cytosolic ribosome [GO:0022626]; NatA complex [GO:0031415]; nucleus [GO:0005634]; peptide alpha-N-acetyltransferase activity [GO:0004596]; peptide-glutamate-N-acetyltransferase activity [GO:1990190]; peptide-serine-N-acetyltransferase activity [GO:1990189]; internal protein amino acid acetylation [GO:0006475]; N-terminal peptidyl-glutamic acid acetylation [GO:0018002]; N-terminal peptidyl-serine acetylation [GO:0017198]; N-terminal protein amino acid acetylation [GO:0006474]	Q9BSU3
O95298	azurophil granule membrane [GO:0035577]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; neutrophil degranulation [GO:0043312]	O95298
P49821	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	P49821
O00217	mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; response to oxidative stress [GO:0006979]	O00217
P00387	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; hemoglobin complex [GO:0005833]; lipid particle [GO:0005811]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; ADP binding [GO:0043531]; AMP binding [GO:0016208]; cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; NAD binding [GO:0051287]; oxidoreductase activity [GO:0016491]; blood circulation [GO:0008015]; cholesterol biosynthetic process [GO:0006695]; L-ascorbic acid metabolic process [GO:0019852]; neutrophil degranulation [GO:0043312]; xenobiotic metabolic process [GO:0006805]	P00387
E9PAV3	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	E9PAV3
P55160	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; SCAR complex [GO:0031209]; secretory granule membrane [GO:0030667]; GTPase activator activity [GO:0005096]; protein complex binding [GO:0032403]; protein kinase activator activity [GO:0030295]; actin polymerization-dependent cell motility [GO:0070358]; B cell homeostasis [GO:0001782]; B cell receptor signaling pathway [GO:0050853]; chemotaxis [GO:0006935]; cortical actin cytoskeleton organization [GO:0030866]; erythrocyte development [GO:0048821]; erythrocyte homeostasis [GO:0034101]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; maintenance of cell polarity [GO:0030011]; myeloid cell homeostasis [GO:0002262]; negative regulation of apoptotic process [GO:0043066]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of myosin-light-chain-phosphatase activity [GO:0035509]; neutrophil chemotaxis [GO:0030593]; neutrophil degranulation [GO:0043312]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043372]; positive regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043378]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of lymphocyte differentiation [GO:0045621]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of phosphorylation [GO:0042327]; positive regulation of T cell proliferation [GO:0042102]; protein complex assembly [GO:0006461]; response to drug [GO:0042493]; T cell homeostasis [GO:0043029]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	P55160
Q9BT67	cell cortex [GO:0005938]; cell junction [GO:0030054]; dendrite [GO:0030425]; endosome membrane [GO:0010008]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; signal transducer activity [GO:0004871]; cellular iron ion homeostasis [GO:0006879]; metal ion transport [GO:0030001]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of isotype switching to IgE isotypes [GO:0048294]; negative regulation of protein transport [GO:0051224]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transporter activity [GO:0032410]; negative regulation of type 2 immune response [GO:0002829]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein ubiquitination [GO:0031398]; regulation of isotype switching to IgG isotypes [GO:0048302]; regulation of lymphocyte differentiation [GO:0045619]; regulation of myeloid leukocyte differentiation [GO:0002761]; vacuolar transport [GO:0007034]	Q9BT67
Q9NV92	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; multivesicular body membrane [GO:0032585]; perinuclear region of cytoplasm [GO:0048471]; signal transducer activity [GO:0004871]; WW domain binding [GO:0050699]; negative regulation of gene expression [GO:0010629]; negative regulation of protein transport [GO:0051224]; negative regulation of transporter activity [GO:0032410]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of protein ubiquitination [GO:0031398]	Q9NV92
Q15843	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ubiquitin protein ligase binding [GO:0031625]; anatomical structure morphogenesis [GO:0009653]; cellular protein modification process [GO:0006464]; protein deubiquitination [GO:0016579]; protein localization [GO:0008104]; protein neddylation [GO:0045116]; proteolysis [GO:0006508]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to organic cyclic compound [GO:0014070]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ubiquitin-dependent protein catabolic process [GO:0006511]	Q15843
P61081	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; ATP binding [GO:0005524]; NEDD8 transferase activity [GO:0019788]; ribosomal S6-glutamic acid ligase activity [GO:0018169]; ubiquitin-protein transferase activity [GO:0004842]; cellular protein modification process [GO:0006464]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of neuron apoptotic process [GO:0043525]; protein neddylation [GO:0045116]; transforming growth factor beta receptor signaling pathway [GO:0007179]	P61081
Q8NF91	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; LINC complex [GO:0034993]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear outer membrane [GO:0005640]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic membrane [GO:0045211]; sarcomere [GO:0030017]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; cytoskeletal anchoring at nuclear membrane [GO:0090286]; Golgi organization [GO:0007030]; muscle cell differentiation [GO:0042692]; nuclear matrix anchoring at nuclear membrane [GO:0090292]; nucleus organization [GO:0006997]; spermatogenesis [GO:0007283]	Q8NF91
Q6ZS30		Q6ZS30
O14786	axon [GO:0030424]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; neurofilament [GO:0005883]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; semaphorin receptor complex [GO:0002116]; sorting endosome [GO:0097443]; coreceptor activity [GO:0015026]; cytokine binding [GO:0019955]; growth factor binding [GO:0019838]; heparin binding [GO:0008201]; metal ion binding [GO:0046872]; semaphorin receptor activity [GO:0017154]; vascular endothelial growth factor binding [GO:0038085]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; angiogenesis [GO:0001525]; angiogenesis involved in coronary vascular morphogenesis [GO:0060978]; animal organ morphogenesis [GO:0009887]; artery morphogenesis [GO:0048844]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; axonal fasciculation [GO:0007413]; axonogenesis involved in innervation [GO:0060385]; branching involved in blood vessel morphogenesis [GO:0001569]; branchiomotor neuron axon guidance [GO:0021785]; cell migration involved in sprouting angiogenesis [GO:0002042]; cell-cell signaling [GO:0007267]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; commissural neuron axon guidance [GO:0071679]; coronary artery morphogenesis [GO:0060982]; dendrite development [GO:0016358]; dichotomous subdivision of terminal units involved in salivary gland branching [GO:0060666]; dorsal root ganglion morphogenesis [GO:1904835]; endothelial cell chemotaxis [GO:0035767]; endothelial tip cell fate specification [GO:0097102]; facial nerve structural organization [GO:0021612]; facioacoustic ganglion development [GO:1903375]; gonadotrophin-releasing hormone neuronal migration to the hypothalamus [GO:0021828]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; motor neuron migration [GO:0097475]; negative regulation of axon extension involved in axon guidance [GO:0048843]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of neuron apoptotic process [GO:0043524]; nerve development [GO:0021675]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; neuron migration [GO:0001764]; otic placode development [GO:1905040]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive chemotaxis [GO:0050918]; positive regulation of axon extension involved in axon guidance [GO:0048842]; positive regulation of cytokine activity [GO:0060301]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of retinal ganglion cell axon guidance [GO:1902336]; positive regulation of smooth muscle cell migration [GO:0014911]; protein localization to early endosome [GO:1902946]; regulation of retinal ganglion cell axon guidance [GO:0090259]; regulation of vesicle-mediated transport [GO:0060627]; renal artery morphogenesis [GO:0061441]; response to wounding [GO:0009611]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; retinal ganglion cell axon guidance [GO:0031290]; semaphorin-plexin signaling pathway [GO:0071526]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; semaphorin-plexin signaling pathway involved in neuron projection guidance [GO:1902285]; sensory neuron axon guidance [GO:0097374]; signal transduction [GO:0007165]; sprouting angiogenesis [GO:0002040]; sympathetic ganglion development [GO:0061549]; sympathetic neuron projection extension [GO:0097490]; sympathetic neuron projection guidance [GO:0097491]; toxin transport [GO:1901998]; trigeminal ganglion development [GO:0061551]; trigeminal nerve structural organization [GO:0021637]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; VEGF-activated neuropilin signaling pathway [GO:0038190]; VEGF-activated neuropilin signaling pathway involved in axon guidance [GO:1902378]; ventral trunk neural crest cell migration [GO:0036486]; vestibulocochlear nerve structural organization [GO:0021649]	O14786
Q14697	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; glucosidase II complex [GO:0017177]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; membrane [GO:0016020]; carbohydrate binding [GO:0030246]; glucan 1,3-alpha-glucosidase activity [GO:0033919]; RNA binding [GO:0003723]; carbohydrate metabolic process [GO:0005975]; protein folding [GO:0006457]	Q14697
Q15758	extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; melanosome [GO:0042470]; membrane [GO:0016020]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; L-glutamine transmembrane transporter activity [GO:0015186]; L-serine transmembrane transporter activity [GO:0015194]; neutral amino acid transmembrane transporter activity [GO:0015175]; receptor activity [GO:0004872]; symporter activity [GO:0015293]; virus receptor activity [GO:0001618]; amino acid transport [GO:0006865]; extracellular amino acid transport [GO:0006860]; glutamine transport [GO:0006868]; neutral amino acid transport [GO:0015804]	Q15758
Q14596	autophagosome [GO:0005776]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; lysosome [GO:0005764]; M band [GO:0031430]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; pre-autophagosomal structure [GO:0000407]; mitogen-activated protein kinase binding [GO:0051019]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]; macroautophagy [GO:0016236]; negative regulation of osteoblast differentiation [GO:0045668]; protein oligomerization [GO:0051259]; regulation of bone mineralization [GO:0030500]; regulation of stress-activated MAPK cascade [GO:0032872]	Q14596
O15226	nucleolus [GO:0005730]; nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; negative regulation of transcription, DNA-templated [GO:0045892]; transcription, DNA-templated [GO:0006351]	O15226
Q9Y314	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; RNA binding [GO:0003723]; ubiquitin protein ligase activity [GO:0061630]; multicellular organism development [GO:0007275]; negative regulation of catalytic activity [GO:0043086]; negative regulation of nitric-oxide synthase activity [GO:0051001]; protein ubiquitination [GO:0016567]; regulation of nitric-oxide synthase activity [GO:0050999]	Q9Y314
